00:05:49 - 2023-01-12 AM Thursday - model: SimpleCNN2D
00:06:02 - Epoch: 0   | train_loss_C1: 0.3467 | train_loss_C2: 0.3246 | train_loss_dis: 0.0373 | acc_C1_s: 0.8979 | acc_C2_s: 0.9058 | acc_tgt: 0.2753 | test_loss: 2.1171 | test_acc: 0.3467 | test_acc_C1: 0.3462 | test_acc_C2: 0.3379 | saving best model...
00:06:12 - Epoch: 1   | train_loss_C1: 0.1324 | train_loss_C2: 0.1637 | train_loss_dis: 0.0433 | acc_C1_s: 0.9599 | acc_C2_s: 0.9516 | acc_tgt: 0.2469 | test_loss: 1.8519 | test_acc: 0.4126 | test_acc_C1: 0.4043 | test_acc_C2: 0.3981 | saving best model...
00:06:22 - Epoch: 2   | train_loss_C1: 0.1142 | train_loss_C2: 0.1873 | train_loss_dis: 0.0959 | acc_C1_s: 0.9662 | acc_C2_s: 0.9415 | acc_tgt: 0.3116 | test_loss: 6.2468 | test_acc: 0.4155 | test_acc_C1: 0.3343 | test_acc_C2: 0.4315 | 
00:06:33 - Epoch: 3   | train_loss_C1: 0.1040 | train_loss_C2: 0.2467 | train_loss_dis: 0.1233 | acc_C1_s: 0.9694 | acc_C2_s: 0.9092 | acc_tgt: 0.4700 | test_loss: 5.2406 | test_acc: 0.5378 | test_acc_C1: 0.4554 | test_acc_C2: 0.5211 | 
00:06:43 - Epoch: 4   | train_loss_C1: 0.1125 | train_loss_C2: 0.1889 | train_loss_dis: 0.1054 | acc_C1_s: 0.9647 | acc_C2_s: 0.9430 | acc_tgt: 0.5253 | test_loss: 6.4105 | test_acc: 0.5624 | test_acc_C1: 0.4567 | test_acc_C2: 0.5584 | 
00:06:54 - Epoch: 5   | train_loss_C1: 0.0999 | train_loss_C2: 0.1793 | train_loss_dis: 0.1011 | acc_C1_s: 0.9688 | acc_C2_s: 0.9529 | acc_tgt: 0.5812 | test_loss: 5.8375 | test_acc: 0.5796 | test_acc_C1: 0.5074 | test_acc_C2: 0.5627 | 
00:07:05 - Epoch: 6   | train_loss_C1: 0.0996 | train_loss_C2: 0.1592 | train_loss_dis: 0.0995 | acc_C1_s: 0.9702 | acc_C2_s: 0.9582 | acc_tgt: 0.6056 | test_loss: 4.3945 | test_acc: 0.6065 | test_acc_C1: 0.5470 | test_acc_C2: 0.5709 | 
00:07:16 - Epoch: 7   | train_loss_C1: 0.0974 | train_loss_C2: 0.1486 | train_loss_dis: 0.0982 | acc_C1_s: 0.9707 | acc_C2_s: 0.9607 | acc_tgt: 0.6211 | test_loss: 4.5225 | test_acc: 0.6302 | test_acc_C1: 0.5499 | test_acc_C2: 0.5921 | 
00:07:27 - Epoch: 8   | train_loss_C1: 0.0972 | train_loss_C2: 0.1365 | train_loss_dis: 0.0970 | acc_C1_s: 0.9703 | acc_C2_s: 0.9618 | acc_tgt: 0.6384 | test_loss: 4.7233 | test_acc: 0.6300 | test_acc_C1: 0.5480 | test_acc_C2: 0.6077 | 
00:07:37 - Epoch: 9   | train_loss_C1: 0.0972 | train_loss_C2: 0.1265 | train_loss_dis: 0.0968 | acc_C1_s: 0.9694 | acc_C2_s: 0.9647 | acc_tgt: 0.6535 | test_loss: 4.1458 | test_acc: 0.6553 | test_acc_C1: 0.5533 | test_acc_C2: 0.6063 | 
00:07:48 - Epoch: 10  | train_loss_C1: 0.0966 | train_loss_C2: 0.1199 | train_loss_dis: 0.0964 | acc_C1_s: 0.9696 | acc_C2_s: 0.9666 | acc_tgt: 0.6609 | test_loss: 4.0815 | test_acc: 0.6589 | test_acc_C1: 0.5647 | test_acc_C2: 0.6230 | 
00:07:59 - Epoch: 11  | train_loss_C1: 0.0935 | train_loss_C2: 0.1130 | train_loss_dis: 0.0981 | acc_C1_s: 0.9704 | acc_C2_s: 0.9672 | acc_tgt: 0.6653 | test_loss: 4.3709 | test_acc: 0.6600 | test_acc_C1: 0.5447 | test_acc_C2: 0.6049 | 
00:08:09 - Epoch: 12  | train_loss_C1: 0.0945 | train_loss_C2: 0.1077 | train_loss_dis: 0.0973 | acc_C1_s: 0.9704 | acc_C2_s: 0.9691 | acc_tgt: 0.6717 | test_loss: 3.7420 | test_acc: 0.6774 | test_acc_C1: 0.5742 | test_acc_C2: 0.6332 | 
00:08:19 - Epoch: 13  | train_loss_C1: 0.0940 | train_loss_C2: 0.1056 | train_loss_dis: 0.0973 | acc_C1_s: 0.9699 | acc_C2_s: 0.9692 | acc_tgt: 0.6757 | test_loss: 4.0860 | test_acc: 0.6694 | test_acc_C1: 0.5798 | test_acc_C2: 0.6296 | 
00:08:30 - Epoch: 14  | train_loss_C1: 0.0935 | train_loss_C2: 0.1040 | train_loss_dis: 0.0974 | acc_C1_s: 0.9696 | acc_C2_s: 0.9696 | acc_tgt: 0.6796 | test_loss: 3.5898 | test_acc: 0.6756 | test_acc_C1: 0.5780 | test_acc_C2: 0.6357 | 
00:08:41 - Epoch: 15  | train_loss_C1: 0.0945 | train_loss_C2: 0.1037 | train_loss_dis: 0.0969 | acc_C1_s: 0.9705 | acc_C2_s: 0.9684 | acc_tgt: 0.6820 | test_loss: 3.6471 | test_acc: 0.6836 | test_acc_C1: 0.5883 | test_acc_C2: 0.6439 | 
00:08:52 - Epoch: 16  | train_loss_C1: 0.0938 | train_loss_C2: 0.0967 | train_loss_dis: 0.0982 | acc_C1_s: 0.9705 | acc_C2_s: 0.9712 | acc_tgt: 0.6827 | test_loss: 3.7227 | test_acc: 0.6782 | test_acc_C1: 0.5804 | test_acc_C2: 0.6417 | 
00:09:02 - Epoch: 17  | train_loss_C1: 0.0931 | train_loss_C2: 0.0953 | train_loss_dis: 0.0988 | acc_C1_s: 0.9710 | acc_C2_s: 0.9718 | acc_tgt: 0.6819 | test_loss: 4.2541 | test_acc: 0.6748 | test_acc_C1: 0.5581 | test_acc_C2: 0.6396 | 
00:09:13 - Epoch: 18  | train_loss_C1: 0.0953 | train_loss_C2: 0.0969 | train_loss_dis: 0.0989 | acc_C1_s: 0.9702 | acc_C2_s: 0.9714 | acc_tgt: 0.6826 | test_loss: 4.0571 | test_acc: 0.6767 | test_acc_C1: 0.5729 | test_acc_C2: 0.6371 | 
00:09:23 - Epoch: 19  | train_loss_C1: 0.0973 | train_loss_C2: 0.0974 | train_loss_dis: 0.1000 | acc_C1_s: 0.9688 | acc_C2_s: 0.9713 | acc_tgt: 0.6826 | test_loss: 3.9050 | test_acc: 0.6781 | test_acc_C1: 0.5710 | test_acc_C2: 0.6349 | 
00:09:34 - Epoch: 20  | train_loss_C1: 0.0966 | train_loss_C2: 0.0966 | train_loss_dis: 0.0998 | acc_C1_s: 0.9696 | acc_C2_s: 0.9715 | acc_tgt: 0.6836 | test_loss: 4.2397 | test_acc: 0.6798 | test_acc_C1: 0.5891 | test_acc_C2: 0.6324 | 
00:09:44 - Epoch: 21  | train_loss_C1: 0.0970 | train_loss_C2: 0.0978 | train_loss_dis: 0.1010 | acc_C1_s: 0.9701 | acc_C2_s: 0.9717 | acc_tgt: 0.6823 | test_loss: 4.2167 | test_acc: 0.6821 | test_acc_C1: 0.5706 | test_acc_C2: 0.6331 | 
00:09:55 - Epoch: 22  | train_loss_C1: 0.0977 | train_loss_C2: 0.0933 | train_loss_dis: 0.1014 | acc_C1_s: 0.9690 | acc_C2_s: 0.9728 | acc_tgt: 0.6869 | test_loss: 3.9394 | test_acc: 0.6867 | test_acc_C1: 0.5799 | test_acc_C2: 0.6343 | 
00:10:05 - Epoch: 23  | train_loss_C1: 0.0968 | train_loss_C2: 0.0943 | train_loss_dis: 0.1016 | acc_C1_s: 0.9693 | acc_C2_s: 0.9726 | acc_tgt: 0.6874 | test_loss: 4.0644 | test_acc: 0.6856 | test_acc_C1: 0.5584 | test_acc_C2: 0.6389 | 
00:10:16 - Epoch: 24  | train_loss_C1: 0.0968 | train_loss_C2: 0.0914 | train_loss_dis: 0.1016 | acc_C1_s: 0.9692 | acc_C2_s: 0.9731 | acc_tgt: 0.6878 | test_loss: 4.2469 | test_acc: 0.6807 | test_acc_C1: 0.5520 | test_acc_C2: 0.6395 | 
00:10:26 - Epoch: 25  | train_loss_C1: 0.0973 | train_loss_C2: 0.0902 | train_loss_dis: 0.1014 | acc_C1_s: 0.9698 | acc_C2_s: 0.9734 | acc_tgt: 0.6886 | test_loss: 4.3208 | test_acc: 0.6851 | test_acc_C1: 0.5463 | test_acc_C2: 0.6422 | 
00:10:37 - Epoch: 26  | train_loss_C1: 0.0978 | train_loss_C2: 0.0890 | train_loss_dis: 0.1016 | acc_C1_s: 0.9694 | acc_C2_s: 0.9733 | acc_tgt: 0.6874 | test_loss: 4.1839 | test_acc: 0.6840 | test_acc_C1: 0.5585 | test_acc_C2: 0.6407 | 
00:10:48 - Epoch: 27  | train_loss_C1: 0.0979 | train_loss_C2: 0.0870 | train_loss_dis: 0.1018 | acc_C1_s: 0.9695 | acc_C2_s: 0.9738 | acc_tgt: 0.6896 | test_loss: 4.1580 | test_acc: 0.6892 | test_acc_C1: 0.5605 | test_acc_C2: 0.6450 | 
00:10:58 - Epoch: 28  | train_loss_C1: 0.0972 | train_loss_C2: 0.0878 | train_loss_dis: 0.1020 | acc_C1_s: 0.9691 | acc_C2_s: 0.9742 | acc_tgt: 0.6889 | test_loss: 4.2313 | test_acc: 0.6879 | test_acc_C1: 0.5703 | test_acc_C2: 0.6408 | 
00:11:09 - Epoch: 29  | train_loss_C1: 0.0968 | train_loss_C2: 0.0877 | train_loss_dis: 0.1019 | acc_C1_s: 0.9692 | acc_C2_s: 0.9738 | acc_tgt: 0.6903 | test_loss: 4.4006 | test_acc: 0.6873 | test_acc_C1: 0.5528 | test_acc_C2: 0.6425 | 
00:11:19 - Epoch: 30  | train_loss_C1: 0.0980 | train_loss_C2: 0.0860 | train_loss_dis: 0.1021 | acc_C1_s: 0.9692 | acc_C2_s: 0.9744 | acc_tgt: 0.6918 | test_loss: 4.1990 | test_acc: 0.6890 | test_acc_C1: 0.5548 | test_acc_C2: 0.6451 | 
00:11:30 - Epoch: 31  | train_loss_C1: 0.0973 | train_loss_C2: 0.0870 | train_loss_dis: 0.1021 | acc_C1_s: 0.9699 | acc_C2_s: 0.9742 | acc_tgt: 0.6893 | test_loss: 4.2207 | test_acc: 0.6860 | test_acc_C1: 0.5553 | test_acc_C2: 0.6450 | 
00:11:40 - Epoch: 32  | train_loss_C1: 0.0976 | train_loss_C2: 0.0854 | train_loss_dis: 0.1027 | acc_C1_s: 0.9699 | acc_C2_s: 0.9743 | acc_tgt: 0.6907 | test_loss: 4.3566 | test_acc: 0.6891 | test_acc_C1: 0.5525 | test_acc_C2: 0.6457 | 
00:11:50 - Epoch: 33  | train_loss_C1: 0.0985 | train_loss_C2: 0.0862 | train_loss_dis: 0.1030 | acc_C1_s: 0.9693 | acc_C2_s: 0.9738 | acc_tgt: 0.6920 | test_loss: 4.3015 | test_acc: 0.6915 | test_acc_C1: 0.5581 | test_acc_C2: 0.6457 | 
00:12:00 - Epoch: 34  | train_loss_C1: 0.0980 | train_loss_C2: 0.0840 | train_loss_dis: 0.1035 | acc_C1_s: 0.9693 | acc_C2_s: 0.9753 | acc_tgt: 0.6905 | test_loss: 4.2185 | test_acc: 0.6866 | test_acc_C1: 0.5601 | test_acc_C2: 0.6448 | 
00:12:10 - Epoch: 35  | train_loss_C1: 0.0974 | train_loss_C2: 0.0844 | train_loss_dis: 0.1030 | acc_C1_s: 0.9697 | acc_C2_s: 0.9751 | acc_tgt: 0.6905 | test_loss: 4.1987 | test_acc: 0.6867 | test_acc_C1: 0.5558 | test_acc_C2: 0.6478 | 
00:12:21 - Epoch: 36  | train_loss_C1: 0.0975 | train_loss_C2: 0.0830 | train_loss_dis: 0.1033 | acc_C1_s: 0.9701 | acc_C2_s: 0.9751 | acc_tgt: 0.6917 | test_loss: 4.2416 | test_acc: 0.6872 | test_acc_C1: 0.5578 | test_acc_C2: 0.6444 | 
00:12:31 - Epoch: 37  | train_loss_C1: 0.0982 | train_loss_C2: 0.0825 | train_loss_dis: 0.1033 | acc_C1_s: 0.9703 | acc_C2_s: 0.9751 | acc_tgt: 0.6919 | test_loss: 4.2326 | test_acc: 0.6867 | test_acc_C1: 0.5563 | test_acc_C2: 0.6442 | 
00:12:41 - Epoch: 38  | train_loss_C1: 0.0981 | train_loss_C2: 0.0843 | train_loss_dis: 0.1034 | acc_C1_s: 0.9700 | acc_C2_s: 0.9751 | acc_tgt: 0.6912 | test_loss: 4.2874 | test_acc: 0.6853 | test_acc_C1: 0.5567 | test_acc_C2: 0.6422 | 
00:12:51 - Epoch: 39  | train_loss_C1: 0.0966 | train_loss_C2: 0.0858 | train_loss_dis: 0.1032 | acc_C1_s: 0.9700 | acc_C2_s: 0.9746 | acc_tgt: 0.6886 | test_loss: 4.4491 | test_acc: 0.6853 | test_acc_C1: 0.5423 | test_acc_C2: 0.6385 | 
00:13:01 - Epoch: 40  | train_loss_C1: 0.0973 | train_loss_C2: 0.0853 | train_loss_dis: 0.1043 | acc_C1_s: 0.9699 | acc_C2_s: 0.9749 | acc_tgt: 0.6884 | test_loss: 4.4845 | test_acc: 0.6854 | test_acc_C1: 0.5472 | test_acc_C2: 0.6424 | 
00:13:12 - Epoch: 41  | train_loss_C1: 0.0970 | train_loss_C2: 0.0833 | train_loss_dis: 0.1048 | acc_C1_s: 0.9697 | acc_C2_s: 0.9751 | acc_tgt: 0.6891 | test_loss: 4.4164 | test_acc: 0.6855 | test_acc_C1: 0.5553 | test_acc_C2: 0.6435 | 
00:13:22 - Epoch: 42  | train_loss_C1: 0.0959 | train_loss_C2: 0.0839 | train_loss_dis: 0.1042 | acc_C1_s: 0.9701 | acc_C2_s: 0.9745 | acc_tgt: 0.6893 | test_loss: 4.3814 | test_acc: 0.6839 | test_acc_C1: 0.5477 | test_acc_C2: 0.6447 | 
00:13:32 - Epoch: 43  | train_loss_C1: 0.0968 | train_loss_C2: 0.0862 | train_loss_dis: 0.1035 | acc_C1_s: 0.9695 | acc_C2_s: 0.9739 | acc_tgt: 0.6897 | test_loss: 4.3491 | test_acc: 0.6842 | test_acc_C1: 0.5529 | test_acc_C2: 0.6425 | 
00:13:43 - Epoch: 44  | train_loss_C1: 0.0970 | train_loss_C2: 0.0880 | train_loss_dis: 0.1027 | acc_C1_s: 0.9699 | acc_C2_s: 0.9733 | acc_tgt: 0.6897 | test_loss: 4.4435 | test_acc: 0.6841 | test_acc_C1: 0.5504 | test_acc_C2: 0.6424 | 
